act,prompt,precio1,precio2,image_url
CONVERTDIOR VGA+AV A HDMI METALICO + FUENTE,"
Convertidor de PC a TV
Convierta VGA a HDMI y muestre su pelicula HD en su PC en el televisor LCD. O aproveche el televisor de su hogar y conviertalo en un monitor de PC mas grande.
Este convertidor de VGA a HDMI admite salida de alta definicion y reduce el parpadeo de la pantalla. Se utiliza principalmente para mostrar juegos de PC, multimedia e Internet en la television.
",50,1:31;,https://daphtech.com/wp-content/uploads/2021/08/1-1.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-1.jpg
CONVERTDIOR VGA A HDMI,"
Input:VGA   Audio
Output:HDMI
Gender: Male-Female
Audio output: 3.5mm audio jack/R L
Supply:5V 1A
Flexible Design concept,truly personal emergency
",45,13:30;100:28;,https://daphtech.com/wp-content/uploads/2021/08/1-2.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-2.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-2.jpg
CONVERTIDOR USB 3.0 A VGA,"USB 3,0 a VGA Multi-Display Adaptador convertidor de Cable Video externo tarjeta grafica SD998",,,https://daphtech.com/wp-content/uploads/2021/08/1-3.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-3.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-3.jpg
CONVERTIDOR USB 3.0 A HDMI,"- Conecta tu computador o notebook con USB a monitores o pantallas con HDMI
- Resolucion maxima de 600 x 800px
- Compatibilidad con equipos que posean puerto USB 3.0 y USB 2.0
- Podras duplicar la imagen de tu notebook o PC o utilizarlo en modo escritorio extendido
- Adaptador compatible con Windows XP,7, 8 ,10",65,13:40;100:38;,https://daphtech.com/wp-content/uploads/2021/08/1-4.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-4.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-5.jpg
CONVERTIDOR HDMI A AV (RCA) MINI,"
Color: BLANCO
Marca: GENERICO
Modelo: HDMI A RCA
Incluye: 1 Convertidor 1 Cable USB 70 cm 1 Manual de usuario
Peso: 100 GRS
Ancho (Cm): 5
Profundidad (Cm): 5
Material: PVC
",35,13:19;100:17;,https://daphtech.com/wp-content/uploads/2021/08/3-5.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-4.jpg
CONVERTIDOR AV(RCA) A HDMI MINI,"Puerto de entrada: RCA (amarillo, blanco, rojo).
Puerto de salida: HDMI (estandar).
Compatible con NTSC / PAL.
Salida HDMI: 1080p / 60Hz, 720p / 60Hz.
Tamanos: 6.6 x 5.5 x 2.
Peso: 40 g (totalmente ligero).
Alimentacion: Puerto USB.",40,13:20;100:19;,https://daphtech.com/wp-content/uploads/2021/08/1-6.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-6.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-6.jpg
CONVERTIDOR HDMI A VGA MINI,"Diseno compacto.
Conexion de entrada: HDMI
Conexion de salida Video VGA con Audio jack 3.5mm.
Incluye cable de alimentacion.",35,13:15;100:13;,https://daphtech.com/wp-content/uploads/2021/08/2-7.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-7.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-7.jpg
CABLE DE USB 2.0 A SERIAL RS232 + ADAPTADOR,"Cable que permite conectar computadoras, tablets o celulares desde el puerto USB con perifericos que cuentan con puerto serial DB9 o DB25.",30,13:9.50;100:8.00;,https://daphtech.com/wp-content/uploads/2021/08/2-8.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-9-scaled.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-8.jpg
"""CABLE DE USB 2.0 A PARALELO (36 PINES) PVC""","Adaptador de impresora cable USB 2.0 a 36 pines paralelo IEEE 1284 adaptador de impresora cable convertidor cable
Cumple plenamente con las especificaciones del USB 1.1 e IEEE 1284",18,13:8.50;100:7.50;,https://daphtech.com/wp-content/uploads/2021/08/1-10.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-9.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-9.jpg
CABLE MiNi DP TO HDMI 1.8Mts," Compatibilidad con resoluciones de alta definicion de hasta 4k x 2k.
 Compatibilidad con el ancho de banda HBR2 (""High Bit Rate 2"") a hasta 21,6 Gbps
 Conexion de un monitor o proyector DisplayPort a dispositivos equipados con un puerto de conexion Mini DisplayPort.
 Diseno liviano y robusto a la vez que se puede conectar facilmente cada vez que se necesita
 Longitud: 1.80 metros.",22.8,,https://daphtech.com/wp-content/uploads/2021/08/1-11.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-10.jpg
