act,prompt
CONVERTDIOR VGA+AV A HDMI METALICO + FUENTE,"<ul class=""generatedBullets"">
 	<li>Tipo: Cables de conexión</li>
 	<li>Compatible con: televisores</li>
 	<li>Convertidor de PC a TV</li>
 	<li>Convierta VGA a HDMI y muestre su película HD en su PC en el televisor LCD. O aproveche el televisor de su hogar y conviértalo en un monitor de PC más grande.</li>
 	<li>El convertidor VGA a HDMI adopta el chipset más avanzado capaz de convertir señales VGA en un televisor. Es conveniente de usar sin ningún software o hardware externo.</li>
 	<li>Este convertidor de VGA a HDMI admite salida de alta definición y reduce el parpadeo de la pantalla. Se utiliza principalmente para mostrar juegos de PC, multimedia e Internet en la televisión.</li>
 	<li>Con la interfaz HDMI más popular,</li>
 	<li>Convertidor de VGA a HDMI es su elección HD de visualización de video de PC en TV</li>
</ul>"
CONVERTDIOR VGA A HDMI,"Cable de audio VGA USB a HDMI - Entrada: 1x VGA, 1x 3.5 mm, 1x USB - Salida: 1x HDMI - Conversión de audio y video: Full HD 1080p - Salida HDMI: Resolución hasta 720p / 1080i / 1080p / 480p / 720p @ 60Hz - Plug &amp; Play - Dimensiones: 16 x 17 x 4 cm - Peso: 260 g - Color Negro.
<ul class="""">
 	<li class="""">Input:VGA   Audio</li>
 	<li class="""">Output:HDMI</li>
 	<li class="""">Gender: Male-Female</li>
 	<li class="""">Audio output: 3.5mm audio jack/R L</li>
 	<li class="""">Supply:5V 1A</li>
 	<li class="""" data-spm-anchor-id=""a2o4l.pdp_revamp.product_detail.i0.3bc763939ydmIb"">Flexible Design concept,truly personal emergency</li>
</ul>"
CONVERTIDOR USB 3.0 A VGA,"<div><span data-spm-anchor-id=""a2g0o.detail.1000023.i4.19795361zXRoyD"">Tipo: adaptador de pantalla USB</span>
Interfaz de vídeo: VGA
Velocidad de transferencia máxima: 5,0 Gbps
Salida DDC: P-P 5 voltios (TTL)
USB3.0 cable longitud del cable: 150mm
La corriente máxima de funcionamiento: 400 mA
Entorno de trabajo: 0 ° a 70 °
Temperatura de funcionamiento:-15 ° a 50 °
Alimentación: No necesita alimentación externa, fuente de alimentación USB
Conductor: Controlador de disco
Longitud: 24,5 cm
División/duplicación de conexión: 1: 1
Compatible con USB 2,0 y 3,0
Funciones que incluyen pantalla, pantalla extendida, pantalla espejo
Admite alta resolución hasta 1920*1080.
El sistema operativo solo es compatible con el sistema windows 7/8
Resolución de Salida VGA: admite 1920*1080,1600*1200, 1360*768, 1280*720, 800*600
Aviso:
En modo USB 2,0, la resolución máxima es de 800x600 solamente, y en modo USB 3,0, la resolución máxima puede ser de 1080 p.
Debido a la diferencia del monitor y el efecto de la luz, el color real puede ser ligeramente diferente del color de la imagen.
Puede haber una diferencia de 1-2 cm debido a la medición manual.<strong>El paquete incluye:</strong></div>
1 x adaptador de pantalla USB
<span data-spm-anchor-id=""a2g0o.detail.1000023.i2.19795361zXRoyD"">1 x controlador de CD</span>"
CONVERTIDOR USB 3.0 A HDMI,"'- Conecta tu computador o notebook con USB a monitores o pantallas con HDMI
- Resolución máxima de 600 x 800px
- Compatibilidad con equipos que posean puerto USB 3.0 y USB 2.0
- Podrás duplicar la imagen de tu notebook o PC o utilizarlo en modo escritorio extendido
- Adaptador compatible con Windows XP,7, 8 ,10

* Este adaptador sólo transmite imagen, no audio

Drivers actualizados para Windos XP, Windows 7 o Windows 10: https://www.netexpertos.cl/descargar/usb-hdmi-vga.zip"
CONVERTIDOR HDMI A AV (RCA) MINI,"Adaptador convertidor de audio y video Mini compuesto AV a HDMI, modo de resolución dual 720p o 1080p

Convierte señales RCA (AV, compuesto, CVBS) en señales HDMI para que pueda ver su video en un televisor moderno con puertos HDMI. La conversión de analógico a digital en este módulo emplea un muestreo de 162MSPS máximo de 10 bits, expansión de nivel de blanco / negro, mejora de la transición de color, expansión de rango dinámico, estiramiento de azul, detección automática y conversión automática de la señal compuesta a una salida de 1080p (60 HZ). Hacer que los videos cobren vida, brindando las imágenes HD más nítidas y realistas disponibles.

Especificaciones:
1. Puertos de entrada: 1xRCA (amarillo, blanco, rojo), alimentación USB
2. Puertos de salida: 1xHDMI (estándar)
3. Compatible con NTSC / PAL
4. Entrada compuesta: PAL, NTSC3.58, NTSC4.43, SECAM, PAL / M, PAL / N
5. Salida HDMI: 1080p / 60Hz, 720p / 60Hz
6. Dimensiones (mm): 66 (D) x55 (W ) x20 (H)
7. Peso (g): 40 g
8. Alimentación: Puerto USB

Características:
• No es necesario instalar controladores, es portátil, flexible, plug and play.
• Admite entrada de formatos de TV estándar PAL, NTSC3.58, NTSC4.43, SECAM, PAL / M, PAL / N
• Salida de sincronización de audio con video.
• Puede mostrarse en un monitor / TV con una capacidad de ancho de banda alto de 1920 x 1080 a 60 Hz"
CONVERTIDOR AV(RCA) A HDMI MINI,"Con este adaptador convierte señales RCA (AV, compuesto, CVBS) en señales HDMI para que pueda ver su video en un televisor moderno con puertos HDMI. La conversión de analógico a digital en este módulo emplea un muestreo de 162MSPS máximo de 10 bits, expansión de nivel de blanco / negro, mejora de la transición de color, expansión de rango dinámico, estiramiento de azul, detección automática y conversión automática de la señal compuesta a una salida de 1080p (60 HZ). Hacer que los videos cobren vida, brindando las imágenes HD más nítidas y realistas disponibles.

<strong>Características:</strong>
Puerto de entrada: RCA (amarillo, blanco, rojo).
Puerto de salida: HDMI (estándar).
Compatible con NTSC / PAL.
Salida HDMI: 1080p / 60Hz, 720p / 60Hz.
Tamaños: 6.6 x 5.5 x 2.
Peso: 40 g (totalmente ligero).
Alimentación: Puerto USB.

<strong>El paquete incluye:</strong>
1 Adaptador AV a HDMI.
1 Cable USB."
CONVERTIDOR HDMI A VGA MINI,"Convertidor de HDMI a VGA con Audio - 1080P

Este conversor te permite transformar una señal de vídeo / audio digital HDMI a una señal de audio / vídeo analogica Jack 3.5mm / VGA.

Conversor de Audio/Video HDMI2VGA.

Diseño compacto.
Conexión de entrada: HDMI
Conexión de salida Video VGA con Audio jack 3.5mm.
Incluye cable de alimentación.

La imagen va de HDMI a VGA, no funciona en sentido inverso. No es bidireccional."
CABLE DE USB 2.0 A SERIAL RS232 + ADAPTADOR,"Cable que permite conectar computadoras, tablets o celulares desde el puerto USB con periféricos que cuentan con puerto serial DB9 o DB25.
Tasa de transferencia de datos: 230 kbps
Amplia compatibilidad.- El cable funciona con Windows 10, XP, servidor 2003, 7, servidor 2008, 8, 8,1 y servidor 2012.
Doble Cable blindado.- El cable se fabrica con materiales de alta calidad; tiene doble blindaje, con trenza de cobre estañado y protector de lámina de aluminio Mylar para eliminar la conversación cruzada y reducir la interferencia EMI/RFI.
No se requiere energía externa
Largo Del cable: 0.7 m

<strong>El paquete Incluye:</strong>
1 x Cable USB 2.0 A Serial 9 Pines DB9
1 x Adaptador DB9 Hembra a DB25 macho"
"""CABLE DE USB 2.0 A PARALELO (36 PINES) PVC""","<ul>
 	<li>Cable Plug-n-play, admite conexiónes entre caliente y reconfiguración con impresoras Dinamicals con puerto Centronics de 36 pines.</li>
 	<li>Transferencia de datos bidireccional en el puerto paralelo para la transferencia de datos de alta velocidad hasta la tasa de transferencia de datos de 12 Mbps.</li>
 	<li>Le permite conectar su computadora a cualquier dispositivo de impresora paralelo a través del puerto USB y obtener resultados de impresión más rápidos.</li>
 	<li>Bajo consumo de energía, no se necesita adaptador de corriente externo</li>
 	<li>Dispositivo con conexión centrónica estándar (impresora e. g)Puerto USB disponible en la computadora Windows 98/ME/2000/XP/Vista Windows 7 Windows 8 mac OSX y más</li>
 	<li>Longitud: 93 cm/36.6 pulgadasPaquetes incluido1x36 pin USB a paralelo IEEE 1284 cable adaptador de impresora.</li>
</ul>"
CABLE MiNi DP TO HDMI 1.8Mts,"El cable adaptador Mini DisplayPort a DisplayPort (1.80 metros), incluye un conector Mini DisplayPort (macho) en un extremo y un conector DisplayPort (macho) en el otro extremo, lo cual permite conectar cualquier computador portátil equipado con Mini DisplayPort (incluida la familia de productos Mac®) a un monitor, proyector o televisor HDTV que utilice una conexión DisplayPort estándar.
Este cable Mini DisplayPort a DisplayPort admite resoluciones de alta definición de hasta 4k x 2k (3840 x 2160) a 60 Hz, con un ancho de banda máximo HBR2 de 21,6 Gbps. También admite MST (""Multi-Stream"") para la conexión en serie de varios monitores, además de compatibilidad opcional con audio.

El cable está avalado por la garantía NETCOM, con fiabilidad garantizada, y con la seguridad de que el contenido protegido digitalmente por HDCP o DPCP se mostrará correctamente.

<strong>NOTA</strong>
Los computadores portátiles y de escritorio más recientes (por ejemplo, de Apple®) vienen equipados solo con puertos Thunderbolt&#x2122;. Nuestros cables Mini DisplayPort a DisplayPort se pueden conectar a puertos Thunderbolt, lo cual permite la conexión con pantallas compatibles con DisplayPort.

Especificaciones
• Compatibilidad con resoluciones de alta definición de hasta 4k x 2k.
• Compatibilidad con el ancho de banda HBR2 (""High Bit Rate 2"") a hasta 21,6 Gbps
• Conexión de un monitor o proyector DisplayPort a dispositivos equipados con un puerto de conexión Mini DisplayPort.
• Diseño liviano y robusto a la vez que se puede conectar fácilmente cada vez que se necesita
• Longitud: 1.80 metros."
